,Survived
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,0
10,0
11,1
12,0
13,1
14,1
15,0
16,0
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,1
25,0
26,0
27,0
28,0
29,0
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,1
38,0
39,0
40,1
41,0
42,1
43,0
44,1
45,1
46,0
47,0
48,0
49,1
50,0
51,0
52,0
53,1
54,1
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,0
85,1
86,0
87,0
88,0
89,0
90,1
91,1
92,1
93,0
94,1
95,1
96,1
97,1
98,1
99,0
100,1
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,1
111,0
112,0
113,1
114,1
115,0
116,0
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,1
126,0
127,1
128,1
129,1
130,0
131,0
132,1
133,0
134,1
135,0
136,0
137,0
138,1
139,1
140,0
141,1
142,1
143,0
144,1
145,1
146,1
147,0
148,1
149,0
150,0
151,0
152,0
153,0
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,0
163,0
164,0
165,1
166,0
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,1
175,0
176,1
177,0
178,1
179,0
180,0
181,0
182,1
183,1
184,0
185,1
186,0
187,0
188,0
189,1
190,1
191,1
192,1
193,1
194,0
195,1
196,0
197,1
198,1
199,0
200,1
201,0
202,0
203,0
204,1
205,0
206,0
207,0
208,1
209,1
210,0
211,0
212,1
213,1
214,1
215,0
216,0
217,0
218,0
219,1
220,1
221,1
222,1
223,0
224,1
225,0
226,0
227,0
228,0
229,1
230,1
231,0
232,0
233,0
234,0
235,1
236,1
237,1
238,0
239,0
240,0
241,0
242,0
243,1
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,0
266,0
267,0
268,0
269,1
270,1
271,0
272,0
273,0
274,1
275,1
276,0
277,1
278,0
279,1
280,0
281,1
282,0
283,0
284,1
285,1
286,0
287,1
288,1
289,1
290,0
291,0
292,1
293,0
294,0
295,1
296,1
297,1
298,0
299,0
300,0
301,0
302,0
303,1
304,0
305,0
306,0
307,0
308,1
309,1
310,1
311,0
312,0
313,1
314,0
315,1
316,0
317,0
318,1
319,0
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,1
328,0
329,1
330,0
